InstitutionID,StreetTown,InstitutionName,BedCount,OperationYearMonth,Address,PhoneNumber,PostalCode,OperationMode,LegalRepresentative
200311,华漕镇,上海闵行区华漕镇敬老院,293,198509,闵行区繁兴路461号,62212615,201107,公建公营,陶青
200312,华漕镇,上海闵行区继王敬老院,229,200903,闵行区纪翟路2780号,52968668,201107,民建民营（民非）,孙惠珍
200313,江川路街道,上海闵行区江川路街道华坪敬老院,52,198610,闵行区兰坪路131弄13号,54703863,200240,公建公营,王征雄
200314,江川路街道,上海闵行区江川路街道碧江敬老院,50,199209,闵行区碧江路280弄17号甲,64626633,200240,公建公营,王征雄
200315,江川路街道,上海闵行区扩伦福利院,293,200607,闵行区江川路1565弄10、12号,34098564,201111,民建民营（民非）,唐伟荣
200316,江川路街道,上海闵行区华哈养老院   ,250,200808,闵行区昆阳路168号,51103856,201111,民建民营（民非）,郑科
200317,江川路街道,上海恩光敬老院,132,199909,闵行区凤庆路1058号,64635483,200240,民建民营（民非）,沈学彬
200318,江川路街道,上海闵行区红旗敬老院,60,200609,闵行区碧江路501弄67号,54751118,200240,民建民营（民非）,黄张辉
200319,古美路街道,上海闵行区平阳敬老院,200,200812,闵行区平阳路1225号,34174387,201102,公建民营(民非）,俞炳荣
200320,古美路街道,上海闵行区古美敬老院,95,200007,闵行区虹莘路2288弄135号,54162838,201101,公建民营(民非）,钱家民
200321,古美路街道,上海闵行区古美社区智汇坊长者照护之家,18,201605,闵行区平阳路1526号,33583223,201102,公建民营（民非）,严栋
200322,古美路街道,上海闵行区古美社区诚和敬长者照护之家,12,201612,闵行区平吉路528号,54415020,201102,公建民营(民非）,张帅一
200323,新虹街道,上海闵行区新虹敬老院,197,201105,闵行区润虹路798号,34662056,201107,公建公营,朱文燕
200324,浦锦街道,上海闵行区世柏敬老院,67,201307,闵行区南江燕路409号,20922999,201114,公建民营(民非）,杨正权
200325,莘庄工业区,上海闵行区莘庄工业区敬老院,290,201110,闵行区联农路588号,52961911,201108,公建公营,张文刚
200326,莘庄工业区,上海闵行莘庄工业区社区爱照护长者照护之家,16,201603,闵行区瓶北路467号,,200237,公建民营(民非）,虞晓莹
200327,长兴镇,上海市宝山区社会福利院,200,197904,"
长兴镇潘圆公路1666号",56851473,201913,公建公营,陆明
200328,友谊,上海宝山区康乐敬老院,150,198511,宝林八村128号,56100726,201999,民建民营（民非）,潘马发
200329,友谊,上海宝康老年公寓,255,200303,宝山十村106号,56120350,201999,民建民营（民非）,黄安冲
200330,吴淞,上海宝山区海滨新村街道敬老院,160,200408,永清二村122号,56566635,200940,公建民营(民非）,郑培琳
200331,吴淞,上海宝山区永清养老院,93,199901,永清新村76号,56167148,200940,民建民营（民非）,王素珍
200332,吴淞,上海宝山区吴淞街道敬老院,170,199201,同济路2号,56841011,200940,公建公营 ,金建英
200333,吴淞,上海同泰敬老院,245,201612,同泰北路183号,56172183,200941,民建民营（民非）,苗成
200334,吴淞,上海宝山区逸仙养老院,421,201703,塘后支路19-21号,56562778,200942,民建民营（民非）,冯强
200335,张庙,上海宝山区通河新村街道敬老院,72,199911,长江西路通河二村40号,56749563,200431,公建民营(民非）,卞桂芳
200336,张庙,上海宝山区新康安养院,190,200510,呼玛四村27号,66229687,200431,民建民营（民非）,俞巨龙
200337,张庙,上海宝山区泗塘承苗养老院,97,200206,虎林路泗塘五村128号,66212973,200431,民建民营（民非）,李景改
200338,张庙,上海张庙养老院,154,201610,长江西路1181号,56121365,200431,公建民营(民非）,沈超
200339,庙行,上海宝山区庙行镇敬老院,140,201401,长江西路2700号,66989910,200443,公建公营(民非）,季永成
200340,大场,上海宝山区大场镇敬老院,140,199812,环镇北路600弄158号,66509830,200436,公建公营,朱步青
200341,大场,上海宝山区大场镇祁连敬老院,96,199410,锦秋路2088号,56131503,200444,公建公营,范志强
200342,大场,上海宝山区德照敬老院,171,200603,沪太路3651号,51609188,200444,民建民营（民非）,许小凤
200343,大场,上海星堡老年服务有限公司,408,201404,环镇南路858弄5号楼,31001500-80108,200436,民建民营（工商）,Lilly Ho Donohue
200344,大场,上海宝山区金悦养老院,288,201604,祁真路485号,36589951,200444,公建民营（民非）,秦雨胜
200345,大场,上海大场长乐养老院,326,201507,少年村路218号,66610336,200436,民建民营（民非),刘洪法
200346,高境,上海宝山区高境镇养老院,430,201208,何家湾路99弄9号,55040277,200439,公建民营（民非）,秦雨胜
200347,淞南,上海美庭阳光养老院,284,201602,长江南路970号,36589188,200441,民建民营（民非）,周知
200348,顾村,上海宝山区顾村镇敬老院,203,200406,沪太路5129弄10号,56020482,201907,公建公营,王敏娟
200349,顾村,上海顾村和平养老院,188,201603,陆翔路688弄1-33号,66028550,201907,民建民营,丁和斌
200350,顾村,上海宝山区顾村镇馨佳园养老院,131,201705,潘广路1645号,36210632,201908,公建民营（民非）,胡霞敏
200351,杨行,上海宝山杨行镇金秋晨曦老年公寓,1430,200104,盘古路1911号,36417219,201901,公建公营,陆铮
200352,杨行,上海宝山区杨行镇宝山敬老院,230,199505,漠河路1100弄1号,36216217,201999,公建民营（民非）,陈秀娟
200353,杨行,上海宝山区海剑敬老院,220,200704,泰和路1155号,33795030,200940,民建民营(民非）,吴海剑
200354,杨行,上海宝山区百姓敬老院,396,200709,杨宗路308号,33852677,201901,民建民营(民非）,金清浩
200355,杨行,上海宝山勤丰家乐养老院,142,200912,盘古路715弄9号,66785088,201900,民建民营（民非）,刘挺浩
200356,月浦,上海宝山区月浦乐业养老院,65,200401,春雷路332弄2号,56932568,200941,民建民营（民非）,王凤莉
200357,月浦,上海宝山区月浦镇怡康敬老院,58,200601,盛桥一村28号,56159598,200942,民建民营（民非）,王凤莉
200358,月浦,上海宝山区金色晚年敬老院,503,201403,月罗公路新镇车站南首,56931631,200941,民建民营（民非）,潘马发
200359,罗店,上海金罗敬老院,120,200309,罗店镇罗东路779号,66865652,201908,民建民营（民非）,严云龙
200360,罗店,上海宝山罗福养老院,215,200508,罗店镇东西巷街79弄26号,56864175,201908,民建民营（民非）,徐幼妹
200361,罗店,上海西埝敬老院,110,200508,沪太路6289弄88号,66012905,201908,民建民营（民非）,蔡美萍
200362,罗店,上海宝山美兰金苑养老院,850,200912,沪太路6273弄50号,56016351,201908,公建公营,滕玉凤
200363,罗泾,上海宝山区罗泾镇敬老院,110,198402,集宁路179号,56870784,200949,公建公营,陈利英
200364,罗泾,上海罗泾丽康养老院,120,200508,新川沙路503号,56870135,200949,公建公营,陈利英
200365,顾村,上海顾村社区慧享福长者照护之家,38,201703,菊太路1198弄10—1号3楼,56182868,201907,公建民营（民非）,张书荣
200366,马陆镇,上海市嘉定双善养老院,149,200607,上海市嘉定区马陆镇双单路65号,59108221,201801,公建民营  (民非）,王莉娟
200367,马陆镇,上海市退休职工服务中心嘉定公寓,220,199101,上海市嘉定区马陆镇嘉戬公路685号,59518066,201818,公建公营,奚杰
200368,徐行镇,上海市嘉定区徐行镇敬老院,260,200712,上海市嘉定区徐行镇新建一路2115号,59558470,201808,公建公营,顾萍兰
200369,安亭镇,上海市嘉定区安亭镇方泰敬老院,154,199911,上海市嘉定区安亭镇方中路160号,59503437,201814,公建公营,朱红英
200370,真新街道,上海市嘉定区真新街道养老院,192,200301,上海市嘉定区祁连山南路2500号,69182508,201824,公建公营,强凤芬
200371,菊园新区,上海东方老年公寓,350,200512,上海市嘉定区沪宜公路4800号,69968938,201899,民建民营  (民非）,王鲁明
200372,马陆镇,上海市嘉定金马社区福利院,152,201001,上海市嘉定区马陆镇封周路631弄15号,39515055,201801,公建民营  (民非）,张永英
200373,新成路街道,上海颐康家园养老院,1022,201303,上海市嘉定区澄浏中路3000号,59982116,201822,民建民营  (民非）,金卫国
200374,新成路街道,上海市嘉定区新成路街道敬老院,68,199610,上海市嘉定区新成路街道迎园路450号,59993002,201822,"公建
公营",姚忠明
200375,安亭镇,上海市安亭社会福利院,426,200701,上海市嘉定区安亭镇外青松公路10号桥西鸵鸟路,69571982,201805,公建公营,孟瑛
200376,马陆镇,上海市嘉定怡龄养老院,149,201407,上海市嘉定区马陆镇育绿路301弄1号,39900283,201801,公建民营    (民非）,赵静
200377,安亭镇,上海安亭联西敬老院,60,201305,上海市嘉定区安亭镇博园路2868号,69593725,201804,公建民营  (民非）,张建明
200378,南翔镇,上海市嘉定永乐养老院,380,200906,上海市嘉定区南翔镇翔乐路265号,39199365,201802,公建民营  (民非）,王小燕
200379,外冈镇,上海市嘉定区外冈镇敬老院,124,200107,上海市嘉定区外冈镇望新仙桥路231号,59936731,201823,"公建
公营",周健春
200380,外冈镇,上海市嘉定区外冈养老院,499,201706,上海市嘉定区外冈镇祁昌路365号,59588526,201806,公建公营,严晓芳
200381,江桥镇,上海市嘉定区江桥镇封浜敬老院,400,198612,上海市嘉定区江桥镇封浜星华公路2022号,39115296,201812,"公建
公营",徐菊珍
200382,安亭镇,上海市嘉定区安亭镇黄渡敬老院,370,198309,上海市嘉定区安亭镇黄渡新黄路1号,59595715,201804,"公建
公营",肖庆玲
